Loan Applicant,L17#,Project Description,Facility No.,Estimated Construction Start Date,Requested Loan Amount,Disadvantaged Community Principal Forgiveness,Service Population,Loan Priority Score
Mount Carroll,6006,"Phase 3 - Replacement of 2,000 LF of watermain.",IL0150200,3/1/24,1386300,693150,1717,175
Palos Park,5228,"Construction of approximately 5,700 LF of 16"" watermain, portions of which will be directionally drilled under wetlands.",IL0311000,10/1/23,2300000,0,4718,175
Rock Falls,5720,"Phase 3 - Construction of approximately 4,020' of 6"" and 8"" watermain.",IL1950450,3/1/24,1486000,743000,8789,175
Downs,3104,"Phase 1 - Proposed Booster Pumping Station, two pressure reducing stations and approximately 15,000 LF of 8"" watermain extension.",IL1130500,3/1/24,2150000,600000,949,170
Irvington,6117,Blast and repaint the interior and exterior of the Elevated Storage Tank.,IL1890250,9/12/23,350000,175000,659,170
Kirkwood,3452,Drill and construct of new Well #8.,IL1870050,4/6/23,933273,466636,714,170
Pierron,5829,"Coating, structure and safety improvements to both elevated water storage tanks.",IL1194760,6/15/23,600000,300000,446,165
Vandalia,4177,"Construction of a new water treatment plant, intake structure and approximately 10,000 LF of raw and finished watermain.",IL0510350,11/1/23,21099000,1650000,690,165
Dolton,5270,"Installation of approximately 2,200 new water meters, and meter reading system.",IL0310690,9/1/23,2000000,1000000,23153,160
Emington,6140,"Construction of a proposed water building addition, removal and replacement of the existing pressurized vessel filter tanks, addition of a new reverse osmosis filtration system with control panel, removal of the existing aerator and reaction basin, replacement of the existing backwash filter media, a new backup generator and new aerator. Parking lot improvements around the building and placement of insertion valves throughout the distribution system.",IL1050300,11/16/23,1630000,815000,120,160
Murrayville Woodson Water Commission,6063,"Replace 3,000 LF of watermain and SCADA system. Install gate valves and flushing hydrants.",,8/15/23,632180,316090,1024,155
Butler,6039,Phase 3 - Replacement of watermains.,IL1350050,3/1/24,1800000,900000,180,150
Gibson City,6381,"Construction of a new 495 gpm Well and well house, access road and watermain connection.",IL0530100,11/15/23,3286000,1643000,3475,150
Shabbona,6315,"Replace 2,000' of existing watermain and install 700' of 8"" watermain to create a looping system.",IL0370450,7/3/23,604000,302000,860,150
Centralia,3004,"Construction of a new 6.0 MGD water treatment plant with a new 24"" raw water main from the existing water treatment plant to the new plant and new finished watermains from the new plant to the existing water distribution system.",IL1214220,1/2/24,27308550,0,30995,145
Chatsworth,6162,"Replacement of 4"" and 6"" watermains, valves and fire hydrants and complete some watermain looping in the system.",IL1050100,12/1/23,1270000,635000,1256,145
Cissna Park,6331,"Replacement of watermains, valves and fire hydrants.",IL07500200,7/31/23,990000,495000,771,145
Norris City,6388,Phase IV - Replacement of watermains and water meters and replacement of raw watermains that are exposed in dry creek beds.,IL1930350,1/1/24,1845000,922500,2302,145
St. Anne,6070,Replacement of watermains.,IL0910700,9/28/23,2140000,892100,1209,145
